epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,15438.5,0.69842,0.38688,0.90924,0.74044,0.67502,0.7104,0.47601,1.23026,1.18871,1.24141,0.00215429,0.00215429,0.00215429
106,15585.2,0.70451,0.38807,0.90951,0.75993,0.67996,0.72715,0.48871,1.23957,1.15617,1.23627,0.00206901,0.00206901,0.00206901
107,15732,0.68731,0.38041,0.90714,0.75777,0.68346,0.72118,0.48515,1.24288,1.18181,1.23135,0.00198503,0.00198503,0.00198503
108,15878.6,0.69287,0.38305,0.90894,0.72123,0.6903,0.72395,0.48514,1.25794,1.16043,1.25418,0.00190237,0.00190237,0.00190237
109,16025.4,0.67573,0.37473,0.90775,0.74086,0.67112,0.71523,0.47806,1.24391,1.1465,1.2506,0.00182107,0.00182107,0.00182107
110,16172.1,0.68229,0.37291,0.9015,0.74268,0.66955,0.71547,0.47624,1.24471,1.1992,1.24403,0.00174116,0.00174116,0.00174116
111,16318.8,0.66754,0.36777,0.90215,0.73423,0.67793,0.71742,0.48075,1.23313,1.20319,1.2298,0.00166269,0.00166269,0.00166269
112,16466.6,0.67784,0.37117,0.90422,0.70012,0.70441,0.71857,0.48259,1.23707,1.18322,1.22823,0.00158569,0.00158569,0.00158569
113,16613.3,0.66702,0.3634,0.89837,0.72465,0.69602,0.71591,0.48191,1.24107,1.15939,1.23989,0.00151018,0.00151018,0.00151018
114,16759.9,0.66235,0.36418,0.89564,0.71749,0.6774,0.71314,0.47842,1.23404,1.19283,1.23973,0.00143621,0.00143621,0.00143621
115,16906.6,0.66812,0.36572,0.9027,0.71783,0.68727,0.7157,0.48074,1.23748,1.20063,1.23426,0.0013638,0.0013638,0.0013638
116,17053.5,0.66668,0.36231,0.89379,0.71943,0.68559,0.71338,0.47922,1.23557,1.25138,1.23141,0.00129299,0.00129299,0.00129299
117,17200.3,0.66004,0.3582,0.89277,0.72444,0.69095,0.71889,0.4853,1.23892,1.23806,1.2422,0.00122381,0.00122381,0.00122381
118,17347,0.67053,0.36234,0.89865,0.72323,0.69144,0.7158,0.48465,1.22521,1.18917,1.24494,0.00115629,0.00115629,0.00115629
119,17493.7,0.65322,0.35663,0.89736,0.74231,0.66516,0.71568,0.4851,1.2308,1.253,1.23275,0.00109045,0.00109045,0.00109045
120,17640.5,0.65202,0.35356,0.89292,0.74889,0.66791,0.71158,0.47855,1.23813,1.22343,1.23403,0.00102633,0.00102633,0.00102633
121,17787.3,0.64389,0.35401,0.89287,0.71565,0.69962,0.7192,0.48361,1.23248,1.16815,1.23261,0.00096396,0.00096396,0.00096396
122,17935.4,0.64774,0.35322,0.89313,0.73551,0.69037,0.71864,0.48434,1.23031,1.17765,1.23171,0.00090336,0.00090336,0.00090336
123,18082.3,0.64288,0.34978,0.89623,0.72014,0.69321,0.71164,0.47979,1.2308,1.21022,1.23284,0.000844558,0.000844558,0.000844558
124,18229,0.64881,0.34684,0.89427,0.71762,0.69082,0.71938,0.48617,1.23713,1.21879,1.23573,0.000787582,0.000787582,0.000787582
125,18375.8,0.64199,0.34766,0.8875,0.71636,0.68972,0.71779,0.48374,1.23907,1.22191,1.24083,0.000732456,0.000732456,0.000732456
126,18522.5,0.63631,0.34064,0.8922,0.72096,0.69605,0.72037,0.485,1.23841,1.20708,1.2431,0.000679203,0.000679203,0.000679203
127,18669.1,0.6382,0.34594,0.89142,0.73088,0.67979,0.71311,0.47956,1.2414,1.22679,1.24424,0.000627848,0.000627848,0.000627848
